X,Y,OBJECTID,PROJECTNAME,LOCATION,WEBLINK,PROJECTTYPE,PROJECTCATEGORY,PROJECTSUBTYPE,STATUS
618101.9228,4864992.0005,1,King Road,30m West of Keele Street,,Structure,Minor,Bridge Rehabilitation,Active
609866.248,4862354.0655,2,King Road,1.8km East of Highway 27,,Structure,Minor,Culvert Rehabilitation,Active
623409.4432,4858818.8393,3,Bathurst Street,South of Mill Street,,Structure,Minor,Gabion Basket Wall Repair,Active
633075.6594,4861187.171,4,Warden Avenue,60m South of Major Mackenzie Drive East,,Structure,Minor,Culvert Rehabilitation,Active
623068.7001,4860411.53,5,Bathurst Street,0.3km North of Elgin Mills Road/Teston Road,,Structure,Minor,Culvert Rehabilitation,Active
633757.7269,4898107.3238,6,Ravenshoe Road,0.2km East of York-Durham Line,,Structure,Minor,Bridge Rehabilitation,Active
620873.9907,4883518.2819,7,Yonge Street,0.35km North of Holland Landing Road,,Structure,Minor,Bridge Rehabilitation,Active
613489.5819,4848463.809,8,Highway 7,7 locations between Lansdowne Avenue and Bruce Street,,Structure,Minor,Retaining Wall Rehabilitation,Active
620701.119,4850839.5244,9,Keele Street,50m North of Highway 7,,Structure,Minor,Culvert Rehabilitation,Active
618128.1837,4865072.3072,10,Keele Street,100 m North of King Road,,Structure,Minor,Bridge Rehabilitation,Active
624466.1073,4858408.8807,11,Major Mackenzie Drive,1 km East of Bathurst Street,,Structure,Minor,Culvert Rehabilitation,Active
613716.2563,4854643.103,12,Pine Valley Drive,0.4km South of Major Mackenzie Drive,,Structure,Minor,Culvert Replacement,Active
628143.1371,4888293.4064,13,Warden Avenue,0.55km North of Doane Road,,Structure,Minor,Culvert Replacement,Active
621985.3348,4851276.541,14,Highway 7,1.31 km East of Keele Street,,Structure,Minor,Bridge Rehabilitation,Active
641384.08,4862017.87,15,,16th Avenue and Ninth Line,,Intersection/Interchange,Minor,Intersection Improvements,Active
622425.71,4885794.81,16,,2nd Concession and Doane Road,,Intersection/Interchange,Minor,Intersection Improvements,Active
623026.14,4860644.82,17,,Bathurst Street and Canyon Hill Avenue,,Intersection/Interchange,Minor,Intersection Improvements,Active
642640.8117,4858116.0563,18,,"Box Grove By-pass, between Cooper Creek Drive and 14th Avenue",,Intersection/Interchange,Minor,Intersection Improvements,Active
621492.3283,4857827.6015,19,,Dufferin Street and Eagles Landing Road,,Intersection/Interchange,Minor,Intersection Improvements,Active
608479.2,4860378.55,20,,Highway 27 and Diana Drive,,Intersection/Interchange,Minor,Intersection Improvements,Active
624128.8613,4887515.0903,21,,Leslie Street and Jim Mortson Drive (north access),,Intersection/Interchange,Minor,Intersection Improvements,Active
610405.7301,4871894.06,22,,Lloydtown-Aurora Road and 7th Concession,,Intersection/Interchange,Minor,Intersection Improvements,Active
642969.48,4864533.86,23,,Major Mackenzie Drive and Reesor Road,,Intersection/Interchange,Minor,Intersection Improvements,Active
634844.21,4887744.21,24,,Mount Albert Road and Don Rose Boulevard/King Street,,Intersection/Interchange,Minor,Intersection Improvements,Active
623268.16,4894667.52,25,,Ravenshoe Road and Thornlodge Drive,,Intersection/Interchange,Minor,Intersection Improvements,Active
624763.9034,4875777.8151,26,,St John's Sideroad and Mavrinac Boulevard,,Intersection/Interchange,Minor,Intersection Improvements,Active
622527.7801,4895444.78,27,,The Queensway South and Walter Drive/Terrell Avenue,,Intersection/Interchange,Minor,Intersection Improvements,Active